client_id,name,registration_date,a_b_group,loyalty_tier,total_visits,last_visit
80c093cf-b465-473e-bba1-b30964acea7e,Allison Hill,2023-10-02 12:37:09.672255,treatment,Bronze,15,2024-11-23 10:06:09.531404
6bd132f7-1fbb-4617-9736-bc05c51e80b8,Stephanie Miller,2024-02-24 16:19:35.952895,test,Gold,25,2024-03-08 06:18:32.308127
09d77466-65b3-4def-8dc7-3f7453bbd0cf,,2023-09-29 04:27:06.700904,treatment,Bronze,8,2024-07-13 15:02:34.699870
7c52a9bf-ab2e-426f-847a-4448534d4ab3,Cristian Santos,2024-05-24 13:02:53.877690,treatment,,1,2024-08-05 19:41:39.087770
50b08eae-ae09-4177-b60b-de279045ceba,Rhonda Smith,2024-12-01 02:37:55.787611,test,Silver,29,2025-03-10 03:17:47.900405
36e823db-4363-430f-ac1c-ba70b47966ce,Christopher Bernard,2023-12-24 08:24:35.398319,test,Bronze,12,2024-02-07 07:05:26.953567
00c12932-f56e-491c-a447-cb6546156175,Ryan Munoz,2024-12-02 01:34:52.675711,treatment,Silver,22,2025-03-14 21:02:54.741725
97afa1af-81d6-49cc-ad1f-add1e2767d69,Valerie Gray,2024-05-29 17:30:25.924725,test,,0,
55b4a77f-e68e-4523-be96-fc1bbb89d843,Lisa Hensley,2024-06-17 05:15:23.453803,treatment,Gold,32,2025-01-20 17:53:37.497798
e16d0106-dc19-412b-bab0-6e05eda436cf,,2023-05-25 22:46:00.954769,treatment,Bronze,11,2023-10-31 19:04:58.859731
56b4ee0e-9a9e-428e-997e-78797f0c2d6b,Bobby Hall,2023-07-05 06:06:15.887011,test,Silver,14,2024-01-03 19:11:37.584923
ce96c780-7220-4157-a9c7-e89fce634b05,Holly Wood,2023-09-22 12:22:21.120399,treatment,Gold,31,2024-02-23 16:17:46.377264
b81c38cb-b05c-476e-8bf1-87c3821bd878,Maria Lynch,2023-08-25 11:42:59.281168,treatment,Silver,13,2024-11-08 22:48:11.916700
84741b7b-25e9-41e5-8655-c774bf93e513,James Mayo,2024-08-01 23:33:51.923558,treatment,Gold,32,2024-12-26 10:40:11.497038
e0fcbf2e-c022-43c5-b42a-455745031bd6,Sarah Parsons,2023-10-06 18:57:24.076560,treatment,Bronze,10,2023-10-24 20:49:20.109049
8d6609da-6230-45e7-bce4-5412c7790ef7,Derek Clark,2025-03-11 06:02:10.854213,treatment,,4,2025-04-16 19:10:28.911575
bf885bfe-d2f3-440f-98c4-af6931cccbc3,Matthew Foster,2025-02-18 12:48:18.697757,test,Bronze,12,2025-03-19 04:12:57.352523
3dfd800f-0cb7-4589-9edb-8296dc2ea9cf,,2023-11-01 23:08:51.971630,treatment,Silver,22,2024-03-13 09:37:32.461635
a250ecc4-52b0-4e46-b6b1-bef1c2a2c855,Deborah Richards,2025-02-06 07:35:44.425204,test,Silver,8,2025-03-08 03:02:59.205726
5d4a4a97-1c13-4aaf-86fc-06ec9e7de995,Zachary Hicks,2023-06-27 21:10:33.639767,test,Bronze,3,2023-07-29 04:06:15.748543
4e0b8a8e-320b-4c38-a63d-0e79068e6075,Mark Conner,2024-02-24 20:30:06.244133,treatment,Bronze,12,2024-03-22 16:03:49.107759
c7182f0e-de6a-4ecb-a5d3-287ce5523fe7,Zachary Rice,2025-03-31 19:52:32.995322,test,Bronze,10,2025-04-19 00:19:31.925575
2f431c5b-0855-43a1-8f70-5b93ada127ec,Nathan Maldonado,2024-05-18 17:18:06.913086,test,Silver,12,2024-08-16 23:17:08.191136
ac487108-a35a-45b6-963c-a3493219e409,Ashley Graham,2024-03-18 21:51:43.435145,treatment,Bronze,3,2025-04-03 12:36:30.536620
1ad949be-66b0-400f-89d6-0a7492ded5fd,Deborah Mason,2023-08-30 23:26:05.459586,treatment,Bronze,7,2025-02-28 12:48:07.402832
